"filename", "language", "XML", "Log", "Markdown", "C++", "JSON", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\Player.cpp", "C++", 0, 0, 0, 87, 0, 0, 0, 0, 21, 108
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\Player.h", "C++", 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\PlayerAttackController.cpp", "C++", 0, 0, 0, 262, 0, 0, 0, 0, 24, 286
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\PlayerAttackController.h", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\SaveDataManager.cpp", "C++", 0, 0, 0, 271, 0, 0, 0, 0, 52, 323
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\SaveDataManager.h", "C++", 0, 0, 0, 34, 0, 0, 0, 0, 14, 48
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\SlideShowManager.cpp", "C++", 0, 0, 0, 224, 0, 0, 0, 12, 43, 279
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\SlideShowManager.h", "C++", 0, 0, 0, 60, 0, 0, 0, 0, 12, 72
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\StageEditor.cpp", "C++", 0, 0, 0, 788, 0, 0, 0, 0, 129, 917
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\StageEditor.h", "C++", 0, 0, 0, 67, 0, 0, 0, 0, 13, 80
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\StageManager.cpp", "C++", 0, 0, 0, 266, 0, 0, 0, 0, 35, 301
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\StageManager.h", "C++", 0, 0, 0, 69, 0, 0, 0, 0, 7, 76
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\main.cpp", "C++", 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\res\model2\marine\convert.bat", "Batch", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
